label;genre
Amy Vachal;['Blues', 'Pop music', 'Indie folk']
Amy Wadge;['Folk music', 'Rock music']
Amyt Datta;['Blues', 'Jazz', 'Experimental music']
Amália Rodrigues;Fado
Amédé Ardoin;Creole music
Américo;['Cumbia', 'Tropical music']
AnNa R.;Pop music
An Ye-seul;['Contemporary R&B', 'K-pop']
An Youqi;Mandopop
Ana-Maria Yanakieva;['Pop music', 'Soul music', 'Contemporary R&B']
AnaROBIK;Electropop
Ana Alcaide;World music
Ana Bebić;['Pop music', 'Pop rock']
Ana Bárbara;['Mariachi', 'Cumbia', 'Latin pop', 'Banda (music)', 'Grupera']
Ana Caram;Bossa nova
Ana Carolina;['Folk music', 'Pop music', 'Rock music', 'Samba', 'Salsa music', 'Bossa nova', 'Jazz', 'Música popular brasileira']
Ana Cristina;['Pop music', 'Soul music', 'Latin music (genre)', 'Dance music']
Ana Díaz;['World music', 'Jazz']
Ana Egge;Folk music
Ana Free;['Pop music', 'Rock music']
Ana Gabriel;['Ranchera', 'Latin pop', 'Mexican pop music', 'Rock en español']
Ana Johnsson;['Alternative rock', 'Modern rock']
Ana Laura;['Pop music', 'Contemporary Christian music', 'Christian adult contemporary']
Ana Matronic;['Pop music', 'Glam rock', 'Alternative rock']
Ana Milenković;Pop music
Ana Moura;Fado
Ana Nóbrega;['Contemporary Christian music', 'Contemporary worship music', 'Pop rock']
Ana Paula Valadão;['Contemporary Christian music', 'Contemporary worship music']
Ana Popović;['Blues', 'Funk', 'Rhythm and blues', 'Soul music', 'Blues rock', 'Jazz']
Ana Raquel Satre;Opera
Ana Rich;['Pop music', 'Pop-folk']
Ana Stanić;['Pop music', 'Rhythm and blues', 'Pop rock']
Ana Tijoux;['Pop music', 'Trip hop', 'Contemporary R&B', 'Hip hop music', 'Urban contemporary']
Ana Torroja;['New wave music', 'Pop music', 'Synthpop', 'Post-punk']
Ana Victoria;['Pop music', 'Rock music', 'Electropop']
Ana Voog;Pop rock
Ana Štajdohar;['Pop music', 'Dance-pop']
Anabel Englund;['House music', 'Pop rock', 'Electronic music']
Anabela;['Pop music', 'Showtunes', 'Fado', '1990s']
Anabela Atijas;Pop music
Anabolic Frolic;Happy hardcore
Anagnorisis (Sariola);['Black metal', 'Punk rock', 'Symphonic metal', 'Gothic metal']
Anahit Tsitsikian;Classical music
Anahí de Cárdenas;['Pop music', 'Pop rock']
Anamika Choudhari;['Pop music', 'Filmi']
Anan Anwar;Pop music
Anand Bhate;Hindustani classical music
Anand Raj Anand;Film score
Ananda Shankar;World music
Anandji Virji Shah;Film score
Anand–Milind;['World music', 'Film score']
Anant Lal;Hindustani classical music
Anar Nagilbaz;Hip hop music
Anasol;Latin Pop Albums
Anastacia;['Funk', 'Pop music', 'Soul music', 'Power pop', 'Pop rock', 'Contemporary R&B', 'Dance music']
Anastasia Karpova;['Pop music', 'Europop']
Anastasia Prikhodko;['Folk music', 'Pop music', 'Rock music']
Anastasiya Petryk;Pop music
Anat Cohen;['Post-bop', 'Jazz']
Anatii;['Pop music', 'Contemporary R&B', 'Hip hop music']
Anatoliy Yevdokymenko;['Folk music', 'Pop music', 'Rhythm and blues', 'Electronica', 'Hip hop music', 'Dance music']
Anaya Music;['Music of Latin America', 'New-age music', 'Instrumental', 'Música popular brasileira']
Anaís;['Reggaeton', 'Latin pop', 'Tropical music']
Anaïs Lameche;['Pop music', 'Dance music']
Anaïs Mitchell;['Folk music', 'Indie folk']
Anca Parghel;Jazz
Andee;['Pop rock', 'French pop music']
Anders Aarum;Jazz
Anders Björler;['Death metal', 'Progressive rock', 'Thrash metal', 'Jazz fusion', 'Melodic death metal', 'Groove metal', 'Instrumental']
Anders Fridén;['Alternative metal', 'Melodic death metal']
Anders Glenmark;['Pop music', 'Rock music']
Anders Göthberg;Indie pop
Anders Hammer;['Death metal', 'Power metal']
Anders Hana;['Electronica', 'Jazz']
Anders Iwers;Melodic death metal
Anders Johansson;['Heavy metal music', 'Power metal', 'Neoclassical metal']
Anders Jormin;Jazz
Anders Kobro;['Black metal', 'Progressive metal']
Anders Lindström;['Hard rock', 'Garage rock', 'Alternative rock', 'Power pop', 'Garage punk']
Anders Ljungqvist;Traditional Nordic dance music
Anders Manga;['Psychedelic rock', 'Gothic rock', 'Dark wave']
Anders Nilsson (songwriter);['Pop music', 'Electronic music']
Anders Nyström;['Black metal', 'Death metal', 'Thrash metal', 'Gothic rock', 'Doom metal', 'Alternative metal', 'Avant-garde metal']
Anders Odden;['Black metal', 'Death metal', 'Heavy metal music', 'Ambient music', 'Thrash metal', 'Hard rock', 'Industrial rock', 'Synthpop', 'Electronic body music', 'Doom metal', 'Post-industrial music', 'Electronic rock']
Anders Osborne;['Blues', 'Rock music', 'Rhythm and blues']
Anders Remmer;['Ambient music', 'Electronic music']
Anders Wendin;['Rock music', 'Reggae', 'Soul music']
Anderson East;['Pop music', 'Rhythm and blues']
Anderson Paak;['Rhythm and blues', 'Soul music', 'Hip hop']
Andi Deris;['Heavy metal music', 'Speed metal', 'Hard rock', 'Power metal']
Andi Fraggs;['Pop music', 'Synthpop', 'Electronic music']
Andie Rathbone;['Britpop', 'Progressive rock', 'Indie rock', 'Alternative rock']
Andra (singer);['Pop music', 'Rhythm and blues', 'Dance-pop']
Andra Day;['Blues', 'Disco', 'Pop music', 'Rhythm and blues', 'Soul music', 'Jazz']
Andranik Madadian;['Pop music', 'Rock music', 'Soft rock', 'Dance-pop']
Andraé Crouch;['Contemporary Christian music', 'Gospel music']
Andre Afram Asmar;Alternative hip hop
Andre Barreau;['Pop music', 'Rock music']
Andre Canniere;Jazz
Andre Deyo;['Pop music', 'Contemporary R&B', 'Hip hop music', 'Dance music']
Andre Ethier (musician);Indie rock
Andre Foxxe;['Funk', 'Soul music', 'Contemporary R&B']
Andre Lindal;['Pop music', 'Contemporary R&B', 'Hip hop music']
Andre Matos;['Heavy metal music', 'Progressive metal', 'Folk metal', 'Power metal', 'Neoclassical metal', 'Symphonic metal', '21st-century classical music']
Andre Nickatina;['West Coast hip hop', 'Hip hop music']
Andre Ryder;Film score
Andre Saint-Albin;['House music', 'Trap music', 'Electronic dance music']
Andre Thierry;Alternative_Creole
Andrea (Bulgarian singer);['House music', 'Pop music', 'Pop-folk', 'Dance music']
Andrea Berg;Schlager music
Andrea Bocelli;['Pop music', 'Traditional pop music', 'Latin pop', 'Opera', 'Vocal music', 'Easy listening', 'Crossover music', 'Operatic pop']
Andrea Brachfeld;['Salsa music', 'Latin music (genre)', 'Jazz']
Andrea Caccese;['Folk music', 'Post-rock', 'Indie rock']
Andrea Corr;['Pop music', 'Rock music', 'Celtic music']
Andrea Demirović;Pop music
Andrea Echeverri;['Latin pop', 'Rock en español']
Andrea Een;Classical music
Andrea England;Folk rock
Andrea Faustini;['Pop music', 'Soul music', 'Gospel music', 'Contemporary R&B']
Andrea Ferro;['Alternative metal', 'Gothic metal']
Andrea Figallo;['Pop music', 'Jazz']
Andrea Helms;['Contemporary Christian music', 'Gospel music', 'Contemporary worship music']
Andrea Libardi;['Contemporary R&B', 'Latin pop']
Andrea Martin (musician);['Soul music', 'Contemporary R&B', 'Electronic dance music', 'Adult contemporary music']
Andrea McEwan;['Folk music', 'Jazz']
Andrea Myrander;['Dance-pop', 'Eurodance', 'Dance music']
Andrea Parker (DJ);['Trip hop', 'Downtempo', 'Electro (music)']
Andrea Ross;Pop music
Andrea Rydin Berge;Jazz
Andrea Tessa;['Latin pop', 'Jazz']
Andrea True;Disco
Andrea Veneracion;['Folk music', 'Pop music', 'Choir', 'Classical music']
Andrea Šušnjara;['Folk music', 'Pop music', 'Classical music']
Andreao Heard;['Pop music', 'Rhythm and blues', 'Hip hop music']
Andreas Amundsen;Jazz
Andreas Axelsson;['Black metal', 'Death metal', 'Progressive metal']
Andreas Blomqvist;['Heavy metal music', 'Progressive rock']
Andreas Carlsson;Pop music
Andreas Gabalier;Folk music
Andreas Hedlund;['Black metal', 'Death metal', 'Progressive rock', 'Progressive metal', 'Folk metal', 'Thrash metal', 'Melodic death metal', 'Avant-garde metal']
Andreas Johnson;['Pop music', 'Rock music']
Andreas Kisser;['Death metal', 'Folk music', 'Heavy metal music', 'Thrash metal', 'Alternative metal', 'Groove metal', 'Experimental rock']
Andreas Klein;Classical music
Andreas Kümmert;['Rock music', 'Folk rock', 'Blues rock', 'Pop rock']
Andreas Lill;['Progressive rock', 'Progressive metal']
Andreas Loven;Jazz
Andreas Lundstedt;['Europop', 'Nu-disco']
Andreas Lønmo Knudsrød;Jazz
Andreas Mand;['Rock music', 'Essay', 'Short story', 'Novel', 'Play (theatre)']
Andreas Mjøs;['Rock music', 'Electronica', 'Jazz']
Andreas Moe;['Pop music', 'Acoustic music']
Andreas Olsson;Power metal
Andreas Skår Winther;Jazz
Andreas Stensland Løwe;Jazz
Andreas Tilliander;['Electronica', 'Drone music', 'Techno']
Andreas Tsoukalas;['Pop music', 'Rock music']
Andreas Ulvo;Jazz
Andreas Varady;['Jazz', 'Gypsy jazz']
Andreas Vollenweider;['World music', 'Jazz fusion', 'New-age music', 'Music of India', 'Classical music']
